0   BEYOND THE LOOM INC , 01/01/2002 , 01/01/2004
0   SVAM INTERNATIONAL INC , 01/01/2002 , 01/01/2004
0   SVAN INTERNATIONAL INC , 01/01/2002 , 01/01/2004
0   DNR GROUP COMPANIES INC , 01/01/2002 , 01/01/2004
0   SUCCESSFUL MANAGEMENT CORP , 01/01/2002 , 01/01/2004
0   ISLAND TENNIS LP D/B/A SPORTIME , 01/01/2002 , 01/01/2004
0   ISMAEL LEYVA ARCHITECTS P C , 01/01/2002 , 01/01/2004
0   BILINGUALS INC , 01/01/2002 , 01/01/2004
0   NY ONE INTL CO INC D/B/A STUDIO ON , 01/01/2002 , 01/01/2004
0   THE CHILDRENS CTR FOR EARLY , 01/01/2002 , 01/01/2004
1   PLANET MECHANICAL CORP , 01/01/2002 , 01/01/2004
3   HEALTH SOLUTIONS PLUS INC , 01/01/2002 , 01/01/2004
0   AMICUS SYSTEMS INC , 01/01/2002 , 01/01/2004
0   BLUEDATA INTERNATIONAL INC , 01/01/2002 , 01/01/2004
0   COMPUTER ASSOCIATES INTL INC , 01/01/2002 , 01/01/2004
12   S V TECH INC , 01/01/2002 , 01/01/2004
0   SOFTNET SOLUTIONS INC , 01/01/2002 , 01/01/2004
0   JAVID ISHAL INC , 01/01/2002 , 01/01/2004
0   SOFTPATH SYSTEMS INC , 01/01/2002 , 01/01/2004
0   TANDOORI FOOD & BAKERY INC , 01/01/2002 , 01/01/2004
0   TULIP SOFT CORPORATION , 01/01/2002 , 01/01/2004
0   JUNMO YU AND ASSOCIATES PC , 01/01/2002 , 01/01/2004
0   PECONIC PATHOLOGY ASSOCIATES P C , 01/01/2002 , 01/01/2004
0   UNITED STAFFING REGISTRY INC , 01/01/2002 , 01/01/2004
43   VONAGE HOLDINGS CORP , 01/01/2002 , 01/01/2004
0   ANTONIOS STAIRS INC , 01/01/2002 , 01/01/2004
0   EYORK CONSULTING INC , 01/01/2002 , 01/01/2004
74   SPIRENT COMMUNICATIONS INC , 01/01/2002 , 01/01/2004
0   REDCELL CORP , 01/01/2002 , 01/01/2004
0   REDCELL CORPORATION , 01/01/2002 , 01/01/2004
0   ENCOM J INC , 01/01/2002 , 01/01/2004
6   LONG ISLAND DISC CORPORATION , 01/01/2002 , 01/01/2004
0   SUNG HO SHIN ARCHITECT PC , 01/01/2002 , 01/01/2004
0   SRX TRANSCONTINENTAL INC , 01/01/2002 , 01/01/2004
2   NEW PRO GROUP CORP , 01/01/2002 , 01/01/2004
3   KAIZEN TECHNOLOGIES INC , 01/01/2002 , 01/01/2004
25   VIRTUAL MATRIX CORP , 01/01/2002 , 01/01/2004
182   VIRTUAL MATRIX CORPORATION , 01/01/2002 , 01/01/2004
0   METAMOR ENTERPRISE SOLUTIONS LLC , 01/01/2002 , 01/01/2004
0   DONGSHENG WONDERFUL USA CO LTD , 01/01/2002 , 01/01/2004
0   SELECT IMPORTS INC DBA WESTSIDE ST , 01/01/2002 , 01/01/2004
1   GALLOP TECHNOLOGIES INC , 01/01/2002 , 01/01/2004
0   EVERTICALS GROUP INC , 01/01/2002 , 01/01/2004
158   HUGHES NETWORK SYSTEMS LLC , 01/01/2002 , 01/01/2004
0   WASATCH PEAK ACADEMY INC , 01/01/2002 , 01/01/2004
0   NUGA INC , 01/01/2002 , 01/01/2004
3   APEX TECHNOLOGY GROUP INC , 01/01/2002 , 01/01/2004
0   AMORTGAGEPRO MARKETPLACE LLC , 01/01/2002 , 01/01/2004
46746   IBM CORPORATION , 01/01/2002 , 01/01/2004
2402   INTERNATIONAL PAPER , 01/01/2002 , 01/01/2004
0   THE MCGRAW-HILL COS INC STANDARD & , 01/01/2002 , 01/01/2004
0   THORNTON TOMASETTI INC , 01/01/2002 , 01/01/2004
0   IMG MODEL MANAGEMENT , 01/01/2002 , 01/01/2004
0   SCIVANTAGE INC , 01/01/2002 , 01/01/2004
0   WPP GROUP INC/ YOUNG & RUBICAM , 01/01/2002 , 01/01/2004
